Sign Location Name,Destination Name,Has Dining,Has Grocery,Has Skytrain,Has Washroom,Direction,Distance,Travel Time,Elevation Gain,Comfort
Holdom Southbound at Goring,Central Valley Greenway,,,,,right,0.7km,2min,2m,Circle
Holdom Southbound at Goring,BCIT,,,,,right,3.2km,11min,26m,Square
Holdom Southbound at Goring,Downtown Vancouver,,,,,right,12.3km,49min,72m,Circle
Holdom Southbound at Goring,Metrotown,x,x,x,x,right,5.4km,26min,122m,Square
Holdom Southbound at Goring,New West,,,,,right,8.5km,36min,122m,Square
Douglas Southbound at Still Creek,BCIT,,,,,up,2.1km,8min,30m,Square
Douglas Southbound at Still Creek,Metrotown,x,x,x,x,up,4.6km,24min,125m,Square
Douglas Southbound at Still Creek,Lougheed,x,x,x,x,up,7.1km,26min,44m,Square
Douglas Southbound at Still Creek,Downtown Vancouver,,,,,right,11.5km,47min,70m,Circle
Douglas Southbound at Still Creek,McDonald’s,x,,,x,right,1.6km,5min,2m,Circle
Douglas Southbound at Still Creek,"Rupert Stn, Superstore",,x,x,x,right,4.3km,18min,27m,Circle
Still Creek Westbound at Eastbrook,Downtown Vancouver,,,,,up,10.3km,43min,68m,Circle
Still Creek Westbound at Eastbrook,"Rupert Stn, Superstore",,x,x,x,up,3.0km,14min,26m,Circle
Still Creek Westbound at Eastbrook,Brentwood Mall,x,x,x,x,left,1.2km,6min,30m,Circle
Still Creek Westbound at Eastbrook,Union/Frances,,,,,left,2.4km,12min,65m,Square
Still Creek Westbound at Eastbrook,Burnaby Heights,,,,,left,3.3km,16min,75m,Square
Still Creek Westbound at Gilmore,Gilmore Station,x,,x,x,up,0.4km,1min,0m,Circle
Still Creek Westbound at Gilmore,"Rupert Stn, Superstore",,x,x,x,up,1.9km,10min,25m,Circle
Still Creek Westbound at Gilmore,Downtown Vancouver,,,,,up,9.3km,40min,68m,Circle
Still Creek Westbound at Gilmore,BCIT,,,,,left,1.8km,9min,32m,Square
Still Creek Westbound at Gilmore,Metrotown,x,x,x,x,left,4.4km,27min,152m,Square
Northbound Gilmore path at CVG,Gilmore Station,x,,x,x,up,0.3km,1min,0m,Circle
Northbound Gilmore path at CVG,Brentwood Mall,x,x,x,x,up,1.4km,6min,28m,Square
Northbound Gilmore path at CVG,North Vancouver,,,,,up,5.9km,26min,58m,Square
